No.,SMILE,Alias,MW,R2,R3,R4,ALogP_86,PAMPA %R,PAMPA Papp  (x10-6cm/s),PAMPA Papp SD (x10-6cm/s),logDdec/w,logDoct/w
61,N31[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc2cn(C)nc2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub02-21,728.96476,LA02,Leu,LA19,3.014,83.70324621,2.574064908,0.056882151,0.509272296,3.105682762
71,N41[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub02-31,762.98098,LA02,Phe,LA19,3.338,68.23857101,3.693736807,0.104945494,0.945117958,3.250660164
79,N51[C@H](CCC1)C(=O)N(CCC)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub02-39,813.03966,LA02,Nal,LA19,4.246,18.45556704,2.96508155,0.276431676,1.865012589,3.600506395
91,N31[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](C)C(=O)N(CCCc2cn(C)nc2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub03-11,700.9116,LA03,Ala,LA19,2.101,95.10501631,0.375807291,0.056686188,-0.507484761,2.212139937
101,N31[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc2cn(C)nc2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub03-21,742.99134,LA03,Leu,LA19,3.333,79.36534698,5.069768713,0.609180003,0.994325534,2.558470832
111,N41[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub03-31,777.00756,LA03,Phe,LA19,3.657,53.42672797,6.089902177,0.707627231,1.380644716,2.673240016
119,N51[C@H](CCC1)C(=O)N(CC(C)C)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub03-39,827.06624,LA03,Nal,LA19,4.566,12.49817265,2.220326307,0.410345046,2.207351498,2.95851539
131,N31[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](C)C(=O)N(CCCc2cn(C)nc2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub04-11,744.96416,LA13,Ala,LA19,1.567,96.90067583,0.214733727,0.015018327,-0.806136835,2.534050226
141,N31[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc2cn(C)nc2)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C3=O,Sub04-21,787.0439,LA13,Leu,LA19,2.799,76.49857577,3.67729281,0.129594127,0.832200089,3.280098182
151,N41[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccccc2)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub04-31,821.06012,LA13,Phe,LA19,3.123,60.33220959,4.649605631,0.294403369,1.167723389,3.417866041
159,N51[C@H](CCC1)C(=O)N(CCCOC(C)C)CC(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub04-39,871.1188,LA13,Nal,LA19,4.032,14.76256594,3.660886364,0.12080844,2.028648734,3.555031045
171,N41[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub05-11,757.96292,LA16,Ala,LA19,0.736,,,,,
181,N41[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub05-21,800.04266,LA16,Leu,LA19,1.968,103.5199228,0.091462565,0.033226861,-1.070601916,2.363572572
191,N51[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub05-31,834.05888,LA16,Phe,LA19,2.292,102.3497107,0.23355732,0.053709995,-0.690372776,2.570154967
199,N61[C@H](CCC1)C(=O)N(CCN2CCOCC2)CC(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N(CCCc5cn(C)nc5)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C6=O,Sub05-39,884.11756,LA16,Nal,LA19,3.2,58.37864186,0.889285829,0.160208306,0.370720152,2.954522218
211,N41[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub06-11,769.37288,LA20,Ala,LA19,3.157,74.66283023,2.749440452,0.110886475,0.743556604,3.279867732
221,N41[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](CC(C)C)C(=O)N(CCCc3cn(C)nc3)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C4=O,Sub06-21,811.45262,LA20,Leu,LA19,4.389,17.00365317,3.024800754,0.363118902,1.874325296,2.622243152
231,N51[C@H](CCC1)C(=O)N(Cc2ccc(Cl)cc2)CC(=O)N[C@@H](Cc3ccccc3)C(=O)N(CCCc4cn(C)nc4)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](CCCC)C5=O,Sub06-31,845.46884,LA20,Phe,LA19,4.713,16.73133674,0.779104758,0.169505614,2.248051123,3.533001375
